privName,PrivCount
com.kakao.talk.permission.ADD_FRIEND_AND_START_CHAT,10
com.kakao.talk.permission.FRIENDS_PICKER,10
com.kakao.talk.permission.START_CHAT,10
com.kddi.market.permission.USE_ALML,10
com.oppo.launcher.permission.READ_SETTINGS,10
com.skout.android.permission.C2D_MESSAGE,10
android.permission.,9
android.permission.COARSE_FINE_LOCATION,9
android.permission.MANAGE_USERS,9
android.permission.SDCARD_WRITE,9
android.permission.sec.ENTERPRISE_DEVICE_ADMIN,9
com.amazon.STORE_ACCESS,9
com.anddoes.launcher.permission.UPDATE_COUNT,9
com.aquafadas.store.push.permission.C2D_MESSAGE,9
com.devuni.flashlight.CONTROL_LIGHT,9
com.dianxinos.dxbs.permission.CLOSEAPP,9
com.dianxinos.dxbs.permission.UPDATE,9
com.dianxinos.dxhome.permission.READ_SETTINGS,9
com.fsck.k9.permission.READ_ATTACHMENT,9
com.gau.go.launcherex.gowidget.weatherwidget.permission.C2D_MESSAGE,9
com.gau.go.launcherex.permission.READ_SETTINGS,9
com.google.android.c2dm.SEND,9
com.google.android.googleapps.permission.GOOGLE_AUTH.local,9
com.google.android.providers.settings.permission.WRITE_GSETTINGS,9
com.google.android.voicesearch.SHORTCUTS_ACCESS,9
com.hbo.fcmmafreecatv.permission.C2D_MESSAGE,9
com.huawei.android.launcher.permission.WRITE_SETTINGS,9
com.moxiu.launcher.permission.READ_SETTINGS,9
com.myfitnesspal.android.permission.C2D_MESSAGE,9
com.sgiggle.production.permission.C2D_MESSAGE,9
com.sonyericsson.homescreen.permission.READ_SETTINGS,9
com.sonyericsson.homescreen.permission.WRITE_SETTINGS,9
com.ut.permission.DEVICE_STATE,9
com.vogella.android.locationapi.maps.permission.MAPS_RECEIVE,9
com.wi.guiddoo.permission.MAPS_RECEIVE,9
com.zynga.livepoker.permission.C2D_MESSAGE,9
dianxin.permission.ACCESS_LAUNCHER_DATA,9
htc.socialmanager.permission.READ_SOCIAL_DATABASE,9
htc.socialmanager.permission.USE_SOCIALCOMPONENT,9
htc.socialmanager.permission.USE_SOCIALSERVICE,9
htc.socialmanager.permission.WRITE_SOCIAL_DATABASE,9
jp.co.a_tm.android.launcher.permission.C2D_MESSAGE,9
jp.naver.android.npush.permission.PUSH_MESSAGE,9
org.adwfreak.launcher.permission.WRITE_SETTINGS,9
org.onepf.openiab.permission.BILLING,9
preferExternal,9
telecom.mdesk.permission.READ_SETTINGS,9
android.hardware.touchscreen.multitouch,8
android.net.conn.CONNECTIVITY_CHANGE,8
android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,8
android.permission.BROADCAST_PACKAGE_INSTALL,8
android.permission.INTENT,8
android.permission.MANAGE_APP_TOKENS,8
android.permission.PHONE_STATE,8
android.permission.READ_ATTACHMENT,8
at.nextstop.debug.permission.C2D_MESSAGE,8
at.nextstop.debug.permission.MAPS_RECEIVE,8
br.com.easytaxi.permission.C2D_MESSAGE,8
br.com.waytaxi.taxista.permission.C2D_MESSAGE,8
br.com.waytaxi.taxista.permission.MAPS_RECEIVE,8
com.alipay.mobile.command.trigger.permission,8
com.anchorfree.ACCESS_AF_SERVICE,8
com.antivirus.permission.C2D_MESSAGE,8
com.anydo.permission.C2D_MESSAGE,8
com.avast.android.generic.CENTRAL_SERVICE_PERMISSION,8
com.avast.android.generic.COMM_PERMISSION,8
com.booking.permission.C2D_MESSAGE,8
com.booking.permission.RECEIVER,8
com.example.permission.MAPS_RECEIVE,8
com.farsitel.bazaar.permission.PAY_THROUGH_BAZAAR,8
com.google.android.gm.permission.AUTO_SEND,8
com.google.android.googleapps.permission.GOOGLE_AUTH.goanna_mobile,8
com.google.android.googleapps.permission.GOOGLE_AUTH.youtube,8
com.google.android.music.download.artwork.RECEIVE_BROADCAST_PERMISSION,8
com.google.android.music.store.permission.C2D_MESSAGE,8
com.hotornot.app.permission.C2D_MESSAGE,8
com.jb.gosms.permission.provider.CHAT_INFO_ACCESS,8
com.linecorp.snapmovie.permission.RECORD_MOVIE,8
com.merrys.main.permission.C2D_MESSAGE,8
com.samsung.wmanager.ENABLE_NOTIFICATION,8
com.symantec.permission.ACCESS_NORTON_SECURITY,8
com.symantec.permission.UNLOCK,8
com.tencent.mm.permission.MM_MESSAGE,8
com.tencent.msf.permission.account.sync,8
com.tencent.msg.permission.pushnotify,8
com.tencent.permission.VIRUS_SCAN,8
com.tencent.photos.permission.DATA,8
com.tripadvisor.android.lib.tamobile.permission.MAPS_RECEIVE,8
com.uqee.lying.maingameHanguo.permission.C2D_MESSAGE,8
com.waze.permission.C2D_MESSAGE,8
evernote.permission.WRITE_DATA,8
jp.naver.line.android.permission.AOM_MESSAGE,8
jp.naver.line.android.permission.C2D_MESSAGE,8
jp.naver.line.android.permission.LINE_ACCESS,8
mobi.infolife.taskmanager.RPC,8
mobi.mgeek.TunnyBrowser.permission.READ_HISTORY_BOOKMARKS,8
nz.co.mcom.permission.MAPS_RECEIVE,8
willcom.android.permission.RECEIVE_PHS_STATE,8
android.Manifest.permission.DEVICE_POWER,7
android.permission.ACCESS_4G_STATE,7
android.permission.ACCESS_DRM,7
android.permission.ACTION_SHUTDOWN,7
android.permission.ADD_VOICEMAIL,7
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,7
android.permission.BROADCAST_PACKAGE_REPLACED,7
android.permission.CHANGE_4G_STATE,7
android.permission.DELETE_EXTERNAL_STORAGE,7
android.permission.MAPS_RECEIVE,7
android.permission.READ_MMS,7
android.permission.SIGNAL_PERSISTENT_PROCESSES,7
android.permission.UPDATE_DEVICE_STATE,7
android.permission.WRITE,7
com.android.gallery3d.filtershow.permission.READ,7
com.android.gallery3d.filtershow.permission.WRITE,7
com.ataxi.orders.ui.permission.MAPS_RECEIVE,7
com.avast.android.mobilesecurity.permission.C2D_MESSAGE,7
com.avira.android.permission.C2D_MESSAGE,7
com.avira.android.permission.INVOKE_INTERNAL_HANDLER,7
com.avira.android.permission.INVOKE_WIPE_FEATURES,7
com.avira.android.permission.MAPS_RECEIVE,7
com.avira.android.permission.REMOTE_LOCK_SERVICE,7
com.blackboard.android.learn.permission.C2D_MESSAGE,7
com.dianxinos.dxhome.permission.WRITE_SETTINGS,7
com.duolingo.permission.C2D_MESSAGE,7
com.duolingo.permission.RECEIVE_ADM_MESSAGE,7
com.e1c.mobile.permission.MAPS_RECEIVE,7
com.example.myapp.permission.C2D_MESSAGE,7
com.fitbit.FitbitMobile.permission.C2D_MESSAGE,7
com.fitnesskeeper.runkeeper.pro.permission.C2D_MESSAGE,7
com.fsck.k9.permission.REMOTE_CONTROL,7
com.google.android.c2dm.permission.REGISTRATION,7
com.heimavista.rabbitmq.RECEIVE,7
com.heimavista.rabbitmq.SEND,7
com.highbrow.games.SamTactics.permission.C2D_MESSAGE,7
com.highbrow.games.dragonvillage.permission.C2D_MESSAGE,7
com.htc.sense.hsp.activeservice.BIND_ACTIVE_SERVICE,7
com.kiwi.westbound.permission.C2D_MESSAGE,7
com.lookout.permission.C2D_MESSAGE,7
com.maf.ce.usage,7
com.mmguardian.permission.C2D_MESSAGE,7
com.nd.android.launcher.permission.WRITE_SETTINGS,7
com.netflix.mediaclient.permission.C2D_MESSAGE,7
com.nineninetaxis.driver.permission.C2D_MESSAGE,7
com.nineninetaxis.driver.permission.MAPS_RECEIVE,7
com.pantech.fingerprint.security,7
com.qq.qcloud.permission.ACCESS_ALBUM_BACKUP_LIST,7
com.shazam.android.permission.C2D_MESSAGE,7
com.shazam.android.preloadinfo.provider.ACCESS_DATA,7
com.stumbleupon.android.app.permission.C2D_MESSAGE,7
com.symantec.mobilesecurity.permission.C2D_MESSAGE,7
com.symantec.permission.ACCESS_LICENSE_STATE,7
com.symantec.starmoblie.permission.receive_ctrl,7
com.taxis99.permission.C2D_MESSAGE,7
com.tencent.mm.plugin.permission.SEND,7
com.tencent.msf.permission.ACCOUNT_NOTICE,7
com.textmeinc.textme.permission.C2D_MESSAGE,7
com.tgb.nationsatwar.permission.C2D_MESSAGE,7
com.verizon.vcast.apps.VCAST_APPS_LICENSE_SERVICE,7
com.whatsapp.permission.C2D_MESSAGE,7
com.whatsapp.permission.MAPS_RECEIVE,7
com.whatsapp.permission.VOIP_CALL,7
com.yahoo.mobile.client.android.permissions.YAHOO_INTER_APP,7
com.yotadevices.framework.permission.ACCESS_BACKSCREEN,7
com.your.domain.PAYMENT_BROADCAST_PERMISSION,7
com.ztemt.launcher.permission.READ_SETTINGS,7
de.stocard.stocard.permission.C2D_MESSAGE,7
mobi.mgeek.TunnyBrowser.permission.WRITE_HISTORY_BOOKMARK,7
org.mozilla.firefox_beta.permission.PER_ANDROID_PACKAGE,7
org.mozilla.firefox_beta.permissions.BROWSER_PROVIDER,7
org.mozilla.firefox_beta.permissions.FORMHISTORY_PROVIDER,7
org.mozilla.firefox_beta.permissions.PASSWORD_PROVIDER,7
org.mozilla.firefox_beta_fxaccount.permission.PER_ACCOUNT_TYPE,7
quess.song.music.pop.quiz.permission.C2D_MESSAGE,7
air.br.com.megajogos.mobile.permission.C2D_MESSAGE,6
android.permission.ACCESS_PROVIDER,6
android.permission.BROADCAST_WAP_PUSH,6
android.permission.CHANGE_BACKGROUND_DATA_SETTING,6
android.permission.CHANGE_WIFI_AP_STATE,6
android.permission.CONNECTIVITY_INTERNAL,6
android.permission.INJECT_EVENT,6
android.permission.MODIFY_AUDIO_SETTING,6
android.permission.NETWORK_WIFI_STATE,6
android.permission.SET_WALLPAPER_HINT,6
android.permission.WIFI_SERVICE,6
android.permission.android.hardware.sensor.accelerometer,6
android.permission.sec.MDM_RESTRICTION,6
android.permission.sec.MDM_SECURITY,6
com.alphonso.pulse.permission.C2D_MESSAGE,6
com.android.ContactWidget.permission.READ_SETTINGS,6
com.android.ContactWidget.permission.WRITE_SETTINGS,6
com.android.providers.im.permission.READ_ONLY,6
com.avast.installer.MAKE_PREMIUM,6
com.badoo.mobile.permission.C2D_MESSAGE,6
com.baidu.permission.SHARE,6
com.baseapp.eyeem.permission.C2D_MESSAGE,6
com.baseapp.eyeem.permission.MAPS_RECEIVE,6
com.brands4friends.b4f.permission.C2D_MESSAGE,6
com.creativemobile.dragracingtrucks.PAYMENT_BROADCAST_PERMISSION,6
com.dial070.permission.C2D_MESSAGE,6
com.ebay.mobile.permission.EBAY_USER_CONFIG,6
com.elf8000.android.cheapCalls.RECEIVE_CHEAPCALLS_BROADCAST,6
com.elf8000.android.cheapCalls.SEND_CHEAPCALLS_BROADCAST,6
com.elf8000.android.cheapCalls.permission.C2D_MESSAGE,6
com.expedia.bookings.permission.C2D_MESSAGE,6
com.fivemobile.thescore.permission.C2D_MESSAGE,6
com.geolives.permission.ACCESS_ACTIVITIES,6
com.google.android.apps.maps.permission.C2D_MESSAGE,6
com.google.android.apps.maps.permission.PREFETCH,6
com.google.android.apps.plus.permission.C2D_MESSAGE,6
