privid,privName
546,knsoft.co.kr.bh.ilove_kids.permission.MAPS_RECEIVE
547,com.sec.android.provider.badge.permission.READ
548,com.sec.android.provider.badge.permission.WRITE
549,com.sgiggle.production.permission.C2D_MESSAGE
550,com.app_novotel.layout.permission.C2D_MESSAGE
551,com.app_wesson.layout.permission.C2D_MESSAGE
552,com.shopgate.android.app11364.permission.C2D_MESSAGE
553,com.pinkfroot.planefinder.permission.MAPS_RECEIVE
554,kr.i77_cu_66.permission.C2D_MESSAGE
555,com.app_hairxtacy.layout.permission.C2D_MESSAGE
556,com.app_98rock.layout.permission.C2D_MESSAGE
557,com.aquafadas.store.push.permission.C2D_MESSAGE
558,com.appsbuilder455019.permission.C2D_MESSAGE
559,com.appsbuilder455019.permission.MAPS_RECEIVE
560,com.broadcon.zombiemetro.permission.C2D_MESSAGE
561,com.google.android.providers.gmail.permission.READ_GMAIL
562,com.yahoo.mobile.client.android.permissions.YAHOO_INTER_APP
563,com.android.email.permission.READ_ATTACHMENT
564,com.fsck.k9.permission.READ_ATTACHMENT
565,com.motorola.blur.service.email.Permissions.INTERACT
566,com.ipointapps.bdtv.permission.C2D_MESSAGE
567,com.app_jordan1.layout.permission.C2D_MESSAGE
568,com.conduit.app_f454f7c8903b4330aa47eb83f68cb5ab.app.permission.C2D_MESSAGE
569,com.conduit.app_f454f7c8903b4330aa47eb83f68cb5ab.app.permission.RECEIVE_ADM_MESSAGE
570,com.digitalchocolate.androidevolution.permission.C2D_MESSAGE
571,com.iptecno.videojarc.permission.C2D_MESSAGE
572,com.sec.android.iap.permission.BILLING
573,com.mobisystems.office.permissions.zipprovider
574,com.yotadevices.framework.permission.ACCESS_BACKSCREEN
575,com.app_nutri.layout.permission.C2D_MESSAGE
576,com.wFirefaxBrowserforAndroid.permission.C2D_MESSAGE
577,com.app_thelookhairsalon.layout.permission.C2D_MESSAGE
578,com.jiecao.news.jiecaonews.permission.MIPUSH_RECEIVE
579,com.GCPandroid.permission.C2D_MESSAGE
580,com.shopgate.android.app10459.permission.C2D_MESSAGE
581,com.malauzai.org1786.permission.C2D_MESSAGE
582,radio.castroalves.permission.C2D_MESSAGE
583,android.permission.PROCESS_INCOMING_CALLS
584,com.maiki.staycation.permission.C2D_MESSAGE
